Date,Production,Source,Plant Name,Plant ID,Current Status,Year,Month,Month_Name,Year_Month,Day
2025-12-11,0.1,Visser,Doug Visser,2318D5,Offline,2025,12,December,2025-12,11
2026-02-11,32.6,Visser,Doug Visser,23'18D5,Offline,2026,2,February,2026-02,11
2025-01-12,1.0,Visser,Doug Visser,2318D5,Offline,2025,1,January,2025-01,12
2025-02-12,0.2,Visser,Doug Visser,2318D5,Offline,2025,2,February,2025-02,12
2025-03-12,15.0,Visser,Doug Visser,2318D5,Offline,2025,3,March,2025-03,12
2025-04-12,0.0,Visser,Doug Visser,2318D5,Offline,2025,4,April,2025-04,12
2025-05-12,21.9,Visser,Doug Visser,2318D5,Offline,2025,5,May,2025-05,12
2025-06-12,14.6,Visser,Doug Visser,2318D5,Offline,2025,6,June,2025-06,12
2025-10-12,12.4,Visser,Doug Visser,2318D5,Offline,2025,10,October,2025-10,12
2025-11-12,30.0,Visser,Doug Visser,2318D5,Offline,2025,11,November,2025-11,12
2025-12-12,0.1,Visser,Doug Visser,2318D5,Offline,2025,12,December,2025-12,12
2026-01-12,0.2,Visser,Doug Visser,2318D5,Offline,2026,1,January,2026-01,12
2026-02-12,29.9,Visser,Doug Visser,23'18D5,Offline,2026,2,February,2026-02,12
2025-01-13,0.5,Visser,Doug Visser,2318D5,Offline,2025,1,January,2025-01,13
2025-02-13,0.2,Visser,Doug Visser,2318D5,Offline,2025,2,February,2025-02,13
2025-03-13,6.7,Visser,Doug Visser,2318D5,Offline,2025,3,March,2025-03,13
2025-04-13,51.0,Visser,Doug Visser,2318D5,Offline,2025,4,April,2025-04,13
2025-05-13,0.0,Visser,Doug Visser,2318D5,Offline,2025,5,May,2025-05,13
2025-06-13,23.6,Visser,Doug Visser,2318D5,Offline,2025,6,June,2025-06,13
2025-10-13,40.5,Visser,Doug Visser,2318D5,Offline,2025,10,October,2025-10,13
2025-11-13,13.5,Visser,Doug Visser,2318D5,Offline,2025,11,November,2025-11,13
2025-12-13,0.0,Visser,Doug Visser,2318D5,Offline,2025,12,December,2025-12,13
2026-01-13,0.5,Visser,Doug Visser,2318D5,Offline,2026,1,January,2026-01,13
